,wordle_id,tweet_text
78,261,"Wordle 261 4/6

🟨🟨⬜⬜⬜
⬜🟨🟩⬜⬜
⬜🟨🟩🟩⬜
🟩🟩🟩🟩🟩"
79,261,"Wordle 261 4/6

⬛🟨⬛🟨⬛
🟨🟨🟨🟨⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
80,261,"Wordle 261 4/6

⬛🟨⬛⬛🟨
⬛🟩⬛⬛⬛
⬛🟩🟨🟨⬛
🟩🟩🟩🟩🟩"
81,261,"Wordle 261 4/6

🟨🟨⬛⬛⬛
⬛🟩⬛🟨🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
82,261,"Wordle 261 4/6

🟨⬜🟨⬜🟨
🟨🟨⬜🟨⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩 
Had a 50/50 chance of getting a threesie."
83,261,"Wordle 261 5/6

🟨🟨⬛⬛⬛
⬛⬛🟩🟨⬛
🟨⬛🟩🟩⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
84,261,"Wordle 261 4/6

⬜🟨⬜⬜🟨
⬜🟨🟨🟨⬜
🟨🟩🟩⬜🟨
🟩🟩🟩🟩🟩"
85,261,"Wordle 261 5/6

🟨⬛🟨⬛🟨
⬛🟨⬛⬛⬛
🟨🟩🟩🟨⬛
⬛🟨🟨🟩⬛
🟩🟩🟩🟩🟩"
86,261,"Wordle 261 6/6

⬜🟨🟨⬜⬜
🟩🟩⬜⬜🟨
🟩🟩🟨⬜⬜
🟩🟩⬜⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩"
87,261,"Wordle 261 5/6

🟨⬜⬜🟨⬜
⬜🟨🟩⬜⬜
⬜⬜🟩🟩⬜
⬜🟨🟩🟩⬜
🟩🟩🟩🟩🟩"
88,261,"Wordle 261 4/6

⬜🟨🟨⬜⬜
⬜⬜⬜⬜⬜
⬜🟩⬜⬜⬜
🟩🟩🟩🟩🟩

One minute ☝🏼"
89,261,"Wordle 261 3/6

🟨🟨⬜⬜⬜
⬜🟨🟩🟩⬜
🟩🟩🟩🟩🟩"
90,261,"Wordle 261 3/6

⬛🟨⬛⬛⬛
🟩🟨⬛⬛⬛
🟩🟩🟩🟩🟩"
91,261,"Wordle 261 3/6

⬛🟨⬛⬛🟨
🟩⬛🟩🟩⬛
🟩🟩🟩🟩🟩"
92,261,"Wordle 261 6/6

⬛🟨⬛🟨⬛
🟨🟨🟨⬛⬛
🟨🟨⬛⬛🟩
⬛⬛🟩🟩🟩
⬛🟨🟩🟩🟩
🟩🟩🟩🟩🟩 

Ok tetris!"
